"f.bug_id","bug_fix_days_count","c.author","commit_message","f.summary","summary_stemmed","f.description","description_stemmed","m.Name","m.AvgCyclomatic","m.AvgCyclomaticModified","m.AvgCyclomaticStrict","m.AvgEssential","m.AvgLine","m.AvgLineBlank","m.AvgLineCode","m.AvgLineComment","m.CountDeclClass","m.CountDeclClassMethod","m.CountDeclClassVariable","m.CountDeclExecutableUnit","m.CountDeclFunction","m.CountDeclInstanceMethod","m.CountDeclInstanceVariable","m.CountDeclMethod","m.CountDeclMethodDefault","m.CountDeclMethodPrivate","m.CountDeclMethodProtected","m.CountDeclMethodPublic","m.CountLine","m.CountLineBlank","m.CountLineCode","m.CountLineCodeDecl","m.CountLineCodeExe","m.CountLineComment","m.CountSemicolon","m.CountStmt","m.CountStmtDecl","m.CountStmtExe","m.MaxCyclomatic","m.MaxCyclomaticModified","m.MaxCyclomaticStrict","m.MaxEssential","m.MaxNesting","m.RatioCommentToCode","m.SumCyclomatic","m.SumCyclomaticModified","m.SumCyclomaticStrict","m.SumEssential","d.Severity"
"48148","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48148 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48148  some misspellings I  found in the ""org.apache.jasper"" package and ""org.apache.juli"" package","misspel found apach jasper packag apach juli packag","","","""java/org/apache/jasper/util/Enumerator.java""","1","1","1","1","12","2","4","6","1","0","0","8","8","8","1","8","0","0","0","8","176","49","45","19","17","82","22","33","19","14","3","3","3","1","2","2","10","10","10","8","minor"
"48148","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48148 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48148  some misspellings I  found in the ""org.apache.jasper"" package and ""org.apache.juli"" package","misspel found apach jasper packag apach juli packag","","","""java/org/apache/jasper/xmlparser/UTF8Reader.java""","7","7","7","4","45","2","31","11","1","0","2","12","12","12","5","12","0","3","0","9","643","60","405","84","285","186","199","277","64","213","44","44","44","39","5","0","86","86","86","54","minor"
"48148","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48148 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48148  some misspellings I  found in the ""org.apache.jasper"" package and ""org.apache.juli"" package","misspel found apach jasper packag apach juli packag","","","""java/org/apache/jasper/xmlparser/XMLEncodingDetector.java""","6","6","8","3","41","2","27","11","2","1","5","35","35","34","31","35","2","10","0","23","1645","134","1014","202","692","501","482","693","174","519","31","29","39","20","6","0","230","228","294","118","minor"
"48148","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48148 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48148  some misspellings I  found in the ""org.apache.jasper"" package and ""org.apache.juli"" package","misspel found apach jasper packag apach juli packag","","","""java/org/apache/juli/ClassLoaderLogManager.java""","3","3","4","1","21","1","16","4","7","1","0","21","21","20","9","21","6","0","5","10","588","84","377","129","231","127","178","258","113","145","15","15","19","7","5","0","77","77","84","34","minor"
"48148","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48148 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48148  some misspellings I  found in the ""org.apache.jasper"" package and ""org.apache.juli"" package","misspel found apach jasper packag apach juli packag","","","""java/org/apache/juli/OneLineFormatter.java""","2","2","2","1","23","2","16","5","1","0","3","3","3","3","6","3","0","1","0","2","127","17","71","28","46","44","49","58","25","33","3","3","3","1","2","1","7","7","7","3","minor"
"48148","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48148 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48148  some misspellings I  found in the ""org.apache.jasper"" package and ""org.apache.juli"" package","misspel found apach jasper packag apach juli packag","","","""java/org/apache/juli/logging/DirectJDKLog.java""","1","1","1","1","3","0","3","0","1","2","2","22","22","20","4","22","2","1","0","19","182","33","111","41","48","38","45","76","41","35","4","4","5","1","2","0","25","25","26","22","minor"
"48148","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48148 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48148  some misspellings I  found in the ""org.apache.jasper"" package and ""org.apache.juli"" package","misspel found apach jasper packag apach juli packag","","","""java/org/apache/juli/logging/DirectJDKLog.java""","1","1","1","1","3","0","3","0","1","2","2","22","22","20","4","22","2","1","0","19","182","33","111","41","48","38","45","76","41","35","4","4","5","1","2","0","25","25","26","22","minor"
"48148","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48148 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48148  some misspellings I  found in the ""org.apache.jasper"" package and ""org.apache.juli"" package","misspel found apach jasper packag apach juli packag","","","""java/org/apache/juli/logging/Log.java""","0","0","0","0","0","0","0","0","1","0","0","0","18","18","0","18","0","0","0","18","234","45","21","20","0","168","19","20","20","0","0","0","0","0","0","8","0","0","0","0","minor"
"48148","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48148 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48148  some misspellings I  found in the ""org.apache.jasper"" package and ""org.apache.juli"" package","misspel found apach jasper packag apach juli packag","","","""java/org/apache/juli/logging/LogFactory.java""","1","1","1","1","12","0","3","9","1","6","5","15","15","9","1","15","1","1","0","13","363","50","67","33","23","247","24","41","25","16","2","2","2","1","1","4","16","16","16","15","minor"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/ActionCode.java""","1","1","1","1","5","0","3","2","1","0","29","2","2","2","1","2","0","1","0","1","201","59","40","35","31","102","33","36","34","2","1","1","1","1","0","3","2","2","2","2","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/ProtocolHandler.java""","0","0","0","0","0","0","0","0","1","0","0","0","10","10","0","10","0","0","0","10","85","20","19","18","0","46","12","13","13","0","0","0","0","0","0","2","0","0","0","0","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/Request.java""","1","1","1","1","4","0","3","0","1","0","0","59","59","59","34","59","0","0","0","59","536","137","275","109","136","124","141","210","107","103","4","4","5","1","2","0","69","69","72","59","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/RequestGroupInfo.java""","2","2","2","1","7","0","7","0","1","0","0","15","15","15","7","15","0","0","0","15","164","19","124","43","77","21","89","120","55","65","3","3","3","1","2","0","30","30","30","15","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/RequestInfo.java""","1","1","1","1","3","0","3","0","1","0","0","37","37","37","14","37","1","0","0","36","247","51","152","57","60","44","68","111","57","54","3","3","3","1","2","0","42","42","42","37","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/Response.java""","1","1","1","1","8","0","5","1","1","0","1","45","45","45","17","45","0","1","0","44","592","141","292","85","169","161","139","210","83","127","8","8","18","5","2","1","70","70","86","58","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/ajp/AjpAprProcessor.java""","6","5","6","2","43","5","30","8","3","0","5","22","22","22","28","22","0","1","7","14","1330","261","755","167","567","317","427","557","153","404","32","23","37","12","5","0","141","129","153","60","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/ajp/AjpAprProtocol.java""","1","1","1","1","5","0","4","0","3","0","2","60","60","60","18","60","0","0","3","57","504","95","328","119","206","82","173","269","116","153","6","6","6","5","3","0","95","95","95","64","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/ajp/AjpProcessor.java""","5","5","6","2","38","5","26","7","3","0","5","23","23","23","30","23","0","1","6","16","1263","257","691","167","517","318","404","524","155","369","32","22","37","12","5","0","131","119","141","55","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/ajp/AjpProtocol.java""","1","1","1","1","5","0","4","0","3","0","2","53","53","53","19","53","0","0","3","50","491","93","318","114","199","80","169","257","111","146","5","5","5","4","3","0","87","87","87","56","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/http11/AbstractHttp11Processor.java""","2","1","2","1","11","0","6","4","1","0","3","37","37","37","29","37","0","3","3","31","729","149","297","108","178","292","146","219","107","112","10","10","13","10","4","1","75","73","86","54","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/http11/AbstractHttp11Processor.java""","2","1","2","1","11","0","6","4","1","0","3","37","37","37","29","37","0","3","3","31","729","149","297","108","178","292","146","219","107","112","10","10","13","10","4","1","75","73","86","54","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/http11/AbstractInputBuffer.java""","1","1","1","1","14","2","7","4","1","0","1","11","14","14","13","14","0","0","1","13","327","103","111","45","52","113","71","92","44","48","4","4","4","4","3","1","20","20","21","14","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/http11/AbstractOutputBuffer.java""","2","2","2","1","18","2","9","6","2","0","1","22","24","24","10","24","0","0","6","18","566","139","232","65","139","196","138","187","67","120","7","5","7","4","3","1","50","48","52","25","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/http11/Http11AprProcessor.java""","4","4","5","2","30","3","19","7","1","0","2","47","47","47","34","47","0","4","7","36","1802","319","1013","228","738","481","544","769","231","538","55","55","66","10","6","0","233","231","279","94","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/http11/Http11NioProcessor.java""","11","11","14","4","66","8","47","12","1","0","0","17","17","17","10","17","0","0","7","10","1304","198","857","162","665","267","472","665","162","503","62","62","72","31","7","0","203","203","250","80","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/http11/Http11Processor.java""","12","12","14","2","74","9","51","12","2","0","0","12","12","12","5","12","0","0","6","6","1025","176","657","112","505","195","353","495","114","381","47","47","53","9","4","0","146","146","174","35","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/http11/InternalAprInputBuffer.java""","5","5","6","1","35","6","20","7","2","0","1","18","18","18","14","18","0","0","1","17","843","217","410","80","275","216","209","308","74","234","35","35","43","6","4","1","98","98","114","34","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/http11/InternalAprOutputBuffer.java""","2","2","2","1","17","2","9","5","2","0","1","29","29","29","12","29","0","0","7","22","734","195","295","84","175","245","167","231","78","153","6","5","6","4","3","1","64","62","66","32","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/http11/InternalInputBuffer.java""","8","8","10","1","55","12","32","11","2","0","0","8","8","8","0","8","0","0","2","6","512","125","271","42","193","116","124","195","34","161","31","31","39","4","4","0","70","70","82","13","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/http11/InternalNioInputBuffer.java""","4","4","5","3","25","2","16","6","5","0","0","24","20","24","21","24","0","2","2","20","737","116","441","76","302","191","222","331","68","263","41","41","49","29","5","0","110","110","126","74","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/http11/InternalNioOutputBuffer.java""","2","2","2","1","12","1","7","3","2","0","0","16","16","16","5","16","0","2","2","12","328","74","153","56","83","103","82","116","47","69","8","8","8","3","3","1","32","32","33","18","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/http11/InternalOutputBuffer.java""","1","1","1","1","12","1","6","4","2","0","0","13","13","13","3","13","0","0","1","12","286","84","109","39","50","93","45","68","25","43","3","3","3","1","2","1","21","21","21","13","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/coyote/http11/filters/VoidInputFilter.java""","1","1","1","1","7","0","2","4","1","0","2","7","7","7","0","7","0","0","0","7","126","36","33","19","7","57","13","21","16","5","1","1","1","1","0","2","7","7","7","7","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/el/parser/AstValue.java""","2","2","3","1","13","0","11","0","2","0","1","9","9","9","2","9","0","2","0","7","186","26","132","56","77","28","69","92","46","46","6","6","8","4","2","0","22","22","28","14","normal"
"48149","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48149 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48149  some misspellings I  found in the ""org.apache.coyote"" package and ""org.apache.el"" package","misspel found apach coyot packag apach packag","","","""java/org/apache/el/parser/ParseException.java""","5","3","5","1","28","0","21","7","1","0","0","5","5","5","5","5","0","0","1","4","199","13","114","23","79","72","70","88","23","65","12","10","13","4","3","1","25","17","26","8","normal"
"48150","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48150 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48150  some misspellings I found in the ""javax.servlet"" package","misspel found javax servlet packag","","","""java/javax/servlet/GenericServlet.java""","1","1","1","1","15","0","2","12","1","0","0","12","13","13","1","13","0","0","0","13","326","65","44","20","10","217","15","28","18","10","1","1","1","1","0","5","12","12","12","12","minor"
"48150","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48150 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48150  some misspellings I found in the ""javax.servlet"" package","misspel found javax servlet packag","","","""java/javax/servlet/http/HttpServlet.java""","2","2","2","1","29","1","10","16","3","1","13","22","22","21","4","22","4","2","9","7","822","90","286","121","171","446","147","212","95","117","19","19","19","1","3","2","62","62","63","22","minor"
"48150","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48150 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48150  some misspellings I found in the ""javax.servlet"" package","misspel found javax servlet packag","","","""java/javax/servlet/jsp/JspWriter.java""","1","1","1","1","7","0","2","5","1","0","3","3","28","28","2","28","0","0","1","27","445","70","42","38","7","333","36","40","36","4","1","1","1","1","0","8","3","3","3","3","minor"
"48150","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48150 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48150  some misspellings I found in the ""javax.servlet"" package","misspel found javax servlet packag","","","""java/javax/servlet/jsp/PageContext.java""","1","1","1","1","12","0","4","8","1","0","13","3","17","17","0","17","0","0","0","17","524","65","62","50","20","398","39","43","41","2","1","1","1","1","0","6","3","3","3","3","minor"
"48150","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48150 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48150  some misspellings I found in the ""javax.servlet"" package","misspel found javax servlet packag","","","""java/javax/servlet/jsp/SkipPageException.java""","1","1","1","1","7","0","3","4","1","0","0","4","4","4","0","4","0","0","0","4","76","7","17","7","4","52","5","10","6","4","1","1","1","1","0","3","4","4","4","4","minor"
"48150","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48150 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48150  some misspellings I found in the ""javax.servlet"" package","misspel found javax servlet packag","","","""java/javax/servlet/jsp/tagext/JspFragment.java""","0","0","0","0","0","0","0","0","1","0","0","0","2","2","0","2","0","0","0","2","83","6","9","8","0","68","6","7","7","0","0","0","0","0","0","8","0","0","0","0","minor"
"48150","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48150 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48150  some misspellings I found in the ""javax.servlet"" package","misspel found javax servlet packag","","","""java/javax/servlet/jsp/tagext/PageData.java""","1","1","1","1","7","0","2","5","1","0","0","1","2","2","0","2","0","0","0","2","50","7","7","5","0","36","3","5","5","0","1","1","1","1","0","5","1","1","1","1","minor"
"48150","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48150 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48150  some misspellings I found in the ""javax.servlet"" package","misspel found javax servlet packag","","","""java/javax/servlet/jsp/tagext/SimpleTagSupport.java""","1","1","2","1","17","0","5","11","1","1","0","9","9","8","3","9","0","0","2","7","211","18","61","20","25","132","24","39","19","20","8","8","13","5","2","2","16","16","21","13","minor"
"48150","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48150 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48150  some misspellings I found in the ""javax.servlet"" package","misspel found javax servlet packag","","","""java/javax/servlet/jsp/tagext/SimpleTagSupport.java""","1","1","2","1","17","0","5","11","1","1","0","9","9","8","3","9","0","0","2","7","211","18","61","20","25","132","24","39","19","20","8","8","13","5","2","2","16","16","21","13","minor"
"48150","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48150 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48150  some misspellings I found in the ""javax.servlet"" package","misspel found javax servlet packag","","","""java/javax/servlet/jsp/tagext/TagLibraryInfo.java""","1","1","1","1","12","0","5","7","1","0","0","13","14","14","10","14","0","0","1","13","303","50","83","30","32","175","43","66","33","33","4","4","5","4","2","2","22","22","25","22","minor"
"48150","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48150 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48150  some misspellings I found in the ""javax.servlet"" package","misspel found javax servlet packag","","","""java/javax/servlet/jsp/tagext/TagLibraryValidator.java""","1","1","1","1","10","0","3","7","1","0","0","5","5","5","1","5","0","0","0","5","144","12","20","10","4","112","7","13","9","4","1","1","1","1","0","6","5","5","5","5","minor"
"48150","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48150 Correct JavaDoc typos. Patch provided by gingyang.xu","Bug 48150  some misspellings I found in the ""javax.servlet"" package","misspel found javax servlet packag","","","""java/javax/servlet/jsp/tagext/TagSupport.java""","1","1","1","1","13","0","5","8","1","1","0","15","15","14","4","15","0","0","0","15","279","30","89","28","38","160","37","60","28","32","5","5","10","5","2","2","24","24","29","19","minor"
"48151","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48151 Add missing AL2 headers","Bug 48151  Java files that don't have AL headers","java file header","","","""java/org/apache/catalina/startup/DefaultJarScanner.java""","3","3","3","1","15","1","12","1","1","0","4","9","9","9","3","9","0","2","0","7","214","28","141","56","80","45","65","96","50","46","13","13","15","1","6","0","30","30","35","9","normal"
"48151","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48151 Add missing AL2 headers","Bug 48151  Java files that don't have AL headers","java file header","","","""java/org/apache/tomcat/JarScannerCallback.java""","0","0","0","0","0","0","0","0","1","0","0","0","2","2","0","2","0","0","0","2","18","5","8","7","0","5","6","7","7","0","0","0","0","0","0","1","0","0","0","0","normal"
"48151","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48151 Add missing AL2 headers","Bug 48151  Java files that don't have AL headers","java file header","","","""modules/jdbc-pool/test/org/apache/tomcat/jdbc/test/TestConcurrency.java""","3","3","3","1","22","0","22","1","4","0","1","9","9","9","1","9","0","0","1","8","194","13","180","34","131","7","123","155","41","114","7","7","7","1","3","0","31","31","31","9","normal"
"48151","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48151 Add missing AL2 headers","Bug 48151  Java files that don't have AL headers","java file header","","","""modules/jdbc-pool/test/org/apache/tomcat/jdbc/test/TestException.java""","1","1","1","1","5","0","4","0","2","0","0","3","3","3","0","3","0","0","0","3","37","12","24","12","7","1","10","16","11","5","2","2","2","1","1","0","4","4","4","3","normal"
"48151","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48151 Add missing AL2 headers","Bug 48151  Java files that don't have AL headers","java file header","","","""modules/jdbc-pool/test/org/apache/tomcat/jdbc/test/driver/ResultSet.java""","1","1","1","1","4","0","2","0","1","0","0","189","189","189","1","189","0","0","0","189","1183","280","725","440","97","178","118","308","213","95","1","1","1","1","0","0","189","189","189","189","normal"
"48151","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48151 Add missing AL2 headers","Bug 48151  Java files that don't have AL headers","java file header","","","""modules/tomcat-lite/examples/spring/TomcatSpring.java""","1","1","1","1","10","1","8","0","2","1","0","3","3","2","0","3","1","0","0","2","57","11","27","13","13","19","16","21","14","7","2","2","2","1","1","1","4","4","4","3","normal"
"48151","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48151 Add missing AL2 headers","Bug 48151  Java files that don't have AL headers","java file header","","","""modules/tomcat-lite/java/org/apache/tomcat/addons/Filesystem.java""","1","1","1","1","3","0","3","0","1","0","0","2","2","2","0","2","0","0","0","2","26","4","13","8","2","9","7","10","8","2","1","1","1","1","0","1","2","2","2","2","normal"
"48151","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48151 Add missing AL2 headers","Bug 48151  Java files that don't have AL headers","java file header","","","""modules/tomcat-lite/java/org/apache/tomcat/addons/UserAuthentication.java""","0","0","0","0","0","0","0","0","1","0","0","0","2","2","0","2","0","0","0","2","47","6","13","12","0","28","7","8","8","0","0","0","0","0","0","2","0","0","0","0","normal"
"48151","11","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48151 Add missing AL2 headers","Bug 48151  Java files that don't have AL headers","java file header","","","""modules/tomcat-lite/java/org/apache/tomcat/addons/UserSessionManager.java""","0","0","0","0","0","0","0","0","1","0","0","0","7","7","0","7","7","0","0","0","45","15","13","12","0","17","11","12","12","0","0","0","0","0","0","1","0","0","0","0","normal"
